tamaño_m2,precio_cop,fecha_construccion,barrio,antiguedad,habitaciones
53,160500000,2000,Villa Hermosa,25,3
53,131800000,2004,Moscu No 2,21,3
62,224500000,2015,Villa Hermosa,10,4
57,155300000,1988,Villa Hermosa,37,2
57,156200000,1980,Villa Hermosa,45,2
52,126200000,1996,Granizal,29,3
85,364000000,1995,Manrique Central,30,4
120,443700000,1972,Carlos E Restrepo,53,4
63,163000000,1982,Caicedo,43,3
120,634000000,2016,Suramericana,9,5
83,391100000,2001,La America,24,3
120,625600000,2015,Carlos E Restrepo,10,4
58,201000000,2017,Andalucia,8,3
180,1205800000,2019,Laureles,6,6
76,378000000,2017,Buenos Aires,8,4
55,139500000,2004,Popular,21,2
94,378600000,1982,Carlos E Restrepo,43,4
85,314600000,1984,Buenos Aires,41,4
168,1071600000,2016,El Velodromo,9,4
135,807800000,2009,La Castellana,16,5
61,249900000,2024,La Candelaria,1,4
336,2167300000,2003,Manila,22,6
65,214500000,2009,Guayabal,16,2
233,1415000000,1991,Alejandria,34,4
99,557400000,2019,Laureles,6,4
54,155400000,2018,Moscu No 2,7,3
62,188500000,1998,Guayabal,27,3
350,1827600000,1980,Los Balsos,45,7
85,438100000,2019,Belen,6,3
180,1051300000,2008,Quinta Parro,17,5
64,188800000,2000,Caicedo,25,4
168,901200000,2000,Quinta Parro,25,5
50,128000000,2005,La Cruz,20,3
63,212000000,2004,Villa Hermosa,21,3
65,173000000,1979,Villa Hermosa,46,3
51,110200000,1988,Santa Cruz,37,3
59,202700000,2007,La Candelaria,18,3
269,1623800000,1994,Castropol,31,7
180,864300000,1983,Prado,42,6
161,1009800000,2011,Laureles,14,5
65,244300000,1981,La America,44,4
52,120300000,2000,La Cruz,25,2
180,1157400000,2011,Los Colores,14,6
61,224800000,2022,Guayabal,3,2
79,358100000,2001,Belen,24,2
84,383400000,1992,Belen,33,4
120,542300000,1993,La Floresta,32,4
63,237900000,2021,Villa Hermosa,4,4
56,184000000,2007,Villa Hermosa,18,3
59,212300000,2019,Villa Hermosa,6,3
81,368700000,1993,Estadio,32,4
46,98100000,1979,Santa Cruz,46,2
62,206800000,2006,La Candelaria,19,4
57,171100000,1991,Caicedo,34,2
61,205100000,2003,Andalucia,22,3
180,886100000,1977,Quinta Parro,48,5
71,350500000,2011,Buenos Aires,14,3
59,159200000,1988,Caicedo,37,2
63,217900000,2015,Caicedo,10,2
120,676000000,2018,La Floresta,7,3
79,392100000,2015,Aranjuez,10,2
108,406900000,1973,Carlos E Restrepo,52,3
65,162200000,1971,Campo Valdes No 1,54,4
85,425700000,2012,Aranjuez,13,3
78,359800000,2003,Belen,22,4
62,166000000,1988,La Candelaria,37,2
84,389700000,2006,Aranjuez,19,3
46,113300000,2003,Villa Guadalupe,22,2
85,426400000,2017,Buenos Aires,8,4
120,777700000,2017,Los Colores,8,5
55,138300000,1975,Andalucia,50,2
144,692600000,1983,Cristo Rey,42,4
82,440800000,2020,La America,5,3
45,108200000,1992,Villa Guadalupe,33,1
63,205500000,2002,Caicedo,23,4
57,201700000,2016,Villa Hermosa,9,2
74,387100000,2018,Manrique Central,7,4
60,221700000,2015,Andalucia,10,2
180,1195200000,2016,El Velodromo,9,5
51,107400000,1990,Moscu No 2,35,2
82,364900000,2010,Buenos Aires,15,4
58,194900000,2005,Campo Valdes No 1,20,3
85,396100000,2003,Buenos Aires,22,3
85,293100000,1973,Belen,52,3
65,215100000,2008,Andalucia,17,4
105,499300000,1987,Quinta Parro,38,4
120,680800000,2020,Villa Nueva,5,4
82,412200000,2016,La America,9,3
47,120200000,2007,Popular,18,3
58,189500000,2004,Caicedo,21,2
79,348500000,1992,Buenos Aires,33,4
84,429800000,2014,Manrique Central,11,4
57,193300000,2006,Caicedo,19,2
65,172900000,1983,Caicedo,42,3
62,207000000,2010,Villa Hermosa,15,4
50,119300000,1993,Granizal,32,2
62,166700000,1981,Caicedo,44,3
84,429800000,2020,La America,5,3
76,404300000,2020,Buenos Aires,5,3
180,865200000,1987,El Velodromo,38,4
57,174300000,1998,Villa Hermosa,27,3
60,199400000,2005,Caicedo,20,2
78,380200000,2014,Manrique Central,11,2
120,496800000,1988,Villa Nueva,37,4
180,981400000,1997,Prado,28,5
120,573800000,1994,Laureles,31,4
93,382600000,1985,Carlos E Restrepo,40,4
75,350200000,2005,Belen,20,2
68,321900000,2003,Manrique Central,22,2
84,314200000,1979,Belen,46,4
65,202900000,1996,Villa Hermosa,29,2
60,215800000,2015,Andalucia,10,3
239,1682600000,2015,Castropol,10,5
65,231900000,2015,Caicedo,10,4
61,205000000,2002,Campo Valdes No 1,23,3
85,407200000,2006,Aranjuez,19,4
81,369100000,2008,Belen,17,3
50,106100000,1989,Santa Cruz,36,2
75,339900000,2003,La America,22,2
59,185700000,1991,Campo Valdes No 1,34,2
55,182300000,2010,Villa Hermosa,15,3
80,421200000,2020,Aranjuez,5,4
155,841900000,1999,Quinta Parro,26,6
53,136700000,2004,Moscu No 2,21,2
57,192500000,2006,La Candelaria,19,3
80,368600000,2004,Buenos Aires,21,2
55,151000000,1978,Villa Hermosa,47,2
62,225200000,2017,Guayabal,8,2
59,193700000,2009,Guayabal,16,2
65,197100000,1992,La Candelaria,33,4
55,182700000,2001,Caicedo,24,2
78,278600000,1974,Belen,51,2
59,161100000,1984,Caicedo,41,2
85,320900000,1979,Belen,46,3
56,178900000,2007,Guayabal,18,3
180,1213300000,2018,La Castellana,7,6
46,148000000,2023,Moscu No 2,2,3
50,179200000,2011,Villa Hermosa,14,3
45,130900000,2019,Popular,6,2
55,106300000,1975,Moscu No 2,50,2
103,607400000,2002,Laureles,23,3
59,223900000,2022,La Candelaria,3,3
53,193500000,2013,La Candelaria,12,2
56,187100000,2009,La Candelaria,16,2
164,955700000,2007,El Velodromo,18,5
54,135600000,2008,Granizal,17,3
180,1032100000,2006,Los Colores,19,5
60,199900000,2006,Campo Valdes No 1,19,2
61,174900000,1977,La Candelaria,48,2
59,213700000,2015,La Candelaria,10,2
77,362500000,2005,Manrique Central,20,4
61,213000000,2002,Caicedo,23,2
59,227900000,2019,Villa Hermosa,6,2
55,134800000,2010,La Cruz,15,2
82,299800000,1983,Buenos Aires,42,3
291,1962200000,2009,Manila,16,6
55,105800000,1974,Villa Guadalupe,51,2
74,301400000,1980,Carlos E Restrepo,45,2
61,189100000,1996,Campo Valdes No 1,29,4
54,144000000,2003,Moscu No 2,22,3
63,255100000,2023,Villa Hermosa,2,3
53,182100000,2005,Villa Hermosa,20,3
60,203900000,2008,Caicedo,17,3
56,204100000,2013,La Candelaria,12,2
56,176300000,2002,Campo Valdes No 1,23,3
55,150100000,2012,La Cruz,13,2
54,164600000,1994,Villa Hermosa,31,2
50,119500000,1995,Granizal,30,2
62,164400000,1982,Guayabal,43,2
46,132000000,2013,Villa Guadalupe,12,3
83,303400000,1987,La America,38,4
68,310000000,2010,Belen,15,4
83,377300000,1997,Belen,28,3
63,207700000,2002,La Candelaria,23,2
65,232200000,2012,La Candelaria,13,4
84,311600000,1977,La America,48,3
60,299900000,2006,Belen,19,3
66,244200000,1989,Manrique Central,36,3
48,172500000,2013,Villa Hermosa,12,2
60,218000000,2016,Villa Hermosa,9,2
45,113500000,2009,Villa Guadalupe,16,1
112,610700000,2012,Conquistadores,13,5
79,405900000,2022,La America,3,4
64,234100000,2021,Caicedo,4,2
120,636400000,2017,Villa Nueva,8,3
63,167800000,1980,Caicedo,45,3
65,235300000,2014,Caicedo,11,4
65,223000000,2008,La Candelaria,17,2
76,283800000,1987,Buenos Aires,38,4
65,234000000,2013,Villa Hermosa,12,3
91,436600000,2003,Belen,22,3
61,249300000,2024,Villa Hermosa,1,4
63,224400000,2013,La Candelaria,12,2
180,1046900000,2005,Los Colores,20,4
65,221200000,2007,Campo Valdes No 1,18,3
79,397700000,2012,La America,13,3
74,393800000,2019,Belen,6,4
43,124400000,2015,La Cruz,10,1
180,1180000000,2013,Quinta Parro,12,5
51,139800000,2012,La Cruz,13,2
61,170500000,1982,Guayabal,43,4
62,237900000,2019,Villa Hermosa,6,2
55,127700000,1992,Santa Cruz,33,3
76,384900000,2012,La America,13,3
53,165900000,1994,Caicedo,31,3
54,176800000,2005,La Candelaria,20,3
65,214500000,2009,La Candelaria,16,2
61,228200000,2012,Andalucia,13,2
120,646300000,2015,Carlos E Restrepo,10,5
53,223700000,2024,Andalucia,1,2
77,382800000,2011,Belen,14,2
51,120400000,2000,Villa Guadalupe,25,3
57,203100000,2013,La Candelaria,12,3
74,333400000,2010,Belen,15,4
53,150600000,2015,Santa Cruz,10,2
76,395600000,2011,Aranjuez,14,3
55,143300000,2007,Villa Guadalupe,18,3
64,224200000,2013,Andalucia,12,2
120,587900000,2009,Carlos E Restrepo,16,5
120,629400000,2009,Suramericana,16,5
85,395700000,2006,Manrique Central,19,3
54,130600000,2000,Popular,25,3
58,194100000,2010,Villa Hermosa,15,2
142,891400000,2013,Quinta Parro,12,3
241,1770000000,2015,Los Balsos,10,5
51,141400000,2015,Granizal,10,2
70,317800000,2005,La America,20,3
50,163500000,2024,Popular,1,2
80,301500000,1989,Aranjuez,36,3
54,138800000,2008,Granizal,17,2
82,350100000,1994,Belen,31,4
79,330800000,1991,Belen,34,2
76,336500000,2010,Belen,15,2
56,205900000,2012,Andalucia,13,2
57,190200000,2004,Villa Hermosa,21,2
56,215400000,2019,Guayabal,6,3
120,474000000,1983,Estadio,42,5
64,236300000,2011,Campo Valdes No 1,14,3
56,200600000,2014,Andalucia,11,2
72,311100000,2000,Belen,25,2
60,198800000,2007,Caicedo,18,3
50,188400000,2020,Villa Hermosa,5,2
55,136700000,1994,Santa Cruz,31,2
65,166600000,1970,Andalucia,55,3
157,863400000,1997,Los Colores,28,4
62,155700000,1973,Campo Valdes No 1,52,3
56,186000000,2007,Caicedo,18,3
64,218700000,2002,Guayabal,23,2
57,214800000,2018,Guayabal,7,3
81,301400000,1984,Buenos Aires,41,4
54,203500000,2019,Villa Hermosa,6,2
71,361800000,2013,La America,12,3
76,349200000,2004,Aranjuez,21,2
101,545100000,2011,La Floresta,14,3
55,110100000,1972,Moscu No 2,53,3
91,395000000,1999,Belen,26,4
59,179500000,1995,Campo Valdes No 1,30,3
50,117700000,1993,La Cruz,32,2
55,145000000,1971,La Candelaria,54,3
85,387900000,2002,Buenos Aires,23,4
51,134000000,2005,Popular,20,2
51,141400000,2017,Moscu No 2,8,2
54,178900000,2003,Guayabal,22,3
88,447700000,2004,Belen,21,4
78,362500000,2006,La America,19,4
76,328400000,1994,Manrique Central,31,3
49,158700000,2024,Villa Guadalupe,1,3
58,191200000,2006,Villa Hermosa,19,2
84,310200000,1979,La America,46,3
52,137500000,2003,La Cruz,22,3
64,170700000,1982,Andalucia,43,3
120,626000000,2015,Villa Nueva,10,5
65,184800000,1987,Villa Hermosa,38,2
61,207600000,2006,Andalucia,19,2
122,660400000,1991,Quinta Parro,34,3
80,341000000,1998,La America,27,4
180,865000000,1980,Laureles,45,6
84,417000000,2017,Belen,8,3
54,138000000,2005,Granizal,20,3
60,164900000,1976,La Candelaria,49,2
298,2362200000,2011,El Tesoro,14,5
180,1141700000,2013,La Castellana,12,5
74,323600000,1994,La America,31,4
115,577100000,2005,La Floresta,20,5
81,337900000,1995,La America,30,3
47,111400000,1997,Granizal,28,2
118,576000000,1985,Laureles,40,4
51,133400000,2002,Granizal,23,3
120,475500000,1977,Carlos E Restrepo,48,4
120,542100000,1994,La Floresta,31,3
77,396900000,2011,Belen,14,2
60,231200000,2018,Campo Valdes No 1,7,2
82,403500000,2003,La Floresta,22,4
120,627900000,2016,La Floresta,9,4
54,147900000,1986,Campo Valdes No 1,39,2
116,651300000,2018,Carlos E Restrepo,7,4
58,162300000,1985,Caicedo,40,2
84,391200000,2003,La America,22,3
59,189200000,2008,Andalucia,17,2
78,356300000,2001,Manrique Central,24,4
52,178800000,2003,Villa Hermosa,22,2
83,356300000,1996,Manrique Central,29,4
67,315500000,2006,Belen,19,3
58,155200000,1985,Caicedo,40,3
80,401100000,2014,Manrique Central,11,2
55,172200000,2023,Santa Cruz,2,3
76,340300000,2010,La America,15,2
86,431000000,2006,Carlos E Restrepo,19,4
78,341900000,1999,Aranjuez,26,4
235,1418700000,1998,Los Balsos,27,4
64,215700000,2008,Caicedo,17,4
46,127900000,2012,Moscu No 2,13,3
120,595200000,2010,Conquistadores,15,5
80,302600000,1981,Manrique Central,44,2
77,329600000,1998,Aranjuez,27,3
74,343700000,2002,La America,23,2
59,185200000,1996,Villa Hermosa,29,2
52,151200000,2021,Moscu No 2,4,3
81,382700000,2002,Manrique Central,23,3
158,728600000,1988,Prado,37,6
58,208200000,2013,La Candelaria,12,2
62,221000000,2016,Caicedo,9,4
64,190400000,1998,Andalucia,27,3
58,216600000,2021,Villa Hermosa,4,3
83,379300000,2003,Belen,22,3
58,173100000,2000,La Candelaria,25,3
82,297200000,1981,Buenos Aires,44,3
63,208100000,2002,Caicedo,23,4
75,279200000,1980,La America,45,3
59,210900000,2015,Andalucia,10,3
43,113000000,2007,Popular,18,1
71,347700000,2014,Belen,11,3
116,585000000,2008,Suramericana,17,3
61,198000000,2008,Caicedo,17,2
65,214300000,2010,Andalucia,15,3
55,155300000,2016,Villa Guadalupe,9,3
81,398700000,2012,Buenos Aires,13,4
44,120900000,2012,Villa Guadalupe,13,2
64,231200000,2016,La Candelaria,9,4
124,849100000,2018,El Velodromo,7,3
53,123100000,1992,Villa Guadalupe,33,2
85,418500000,2013,Buenos Aires,12,4
50,133200000,2010,La Cruz,15,2
79,360900000,2004,La America,21,2
60,246600000,2023,La Candelaria,2,3
83,432800000,2018,Belen,7,3
51,132900000,2007,Santa Cruz,18,2
81,399400000,2011,Aranjuez,14,3
83,349100000,1994,Belen,31,3
55,175800000,2007,La Candelaria,18,3
50,124700000,2010,Moscu No 2,15,2
99,534400000,2015,Laureles,10,3
55,153100000,2013,Granizal,12,3
46,128500000,2017,Popular,8,2
85,422400000,2011,Belen,14,4
120,595900000,2005,Conquistadores,20,3
63,227800000,2016,Guayabal,9,4
65,224500000,2005,Campo Valdes No 1,20,4
109,442900000,1979,Suramericana,46,4
65,199900000,2000,La Candelaria,25,2
44,104100000,1991,La Cruz,34,1
61,208500000,2005,Guayabal,20,4
60,212200000,2016,Campo Valdes No 1,9,3
61,208000000,2004,Villa Hermosa,21,2
74,337000000,2003,La America,22,2
74,331600000,2004,Aranjuez,21,2
78,409000000,2018,La America,7,4
189,1159900000,2000,Alejandria,25,6
84,425800000,2013,Aranjuez,12,3
85,444800000,2022,Belen,3,3
61,204900000,2008,Villa Hermosa,17,2
60,192300000,2002,Caicedo,23,3
55,148100000,1978,Andalucia,47,3
120,490000000,1990,Estadio,35,4
73,251700000,1972,Aranjuez,53,3
48,153500000,2024,Villa Guadalupe,1,3
59,194100000,2010,Andalucia,15,3
50,94900000,1974,Popular,51,3
69,289800000,1993,Aranjuez,32,3
71,352700000,2013,Buenos Aires,12,3
82,314200000,1986,Belen,39,4
82,307000000,1989,Aranjuez,36,4
81,343400000,2000,La America,25,3
167,1082700000,2016,Laureles,9,5
48,119200000,1972,Campo Valdes No 1,53,2
56,172700000,1991,Villa Hermosa,34,2
54,152300000,2012,La Cruz,13,3
51,123700000,1996,Granizal,29,3
54,137300000,2007,Granizal,18,2
107,439500000,1989,La Floresta,36,4
60,248500000,2023,Campo Valdes No 1,2,3
61,180100000,2000,Campo Valdes No 1,25,4
57,238200000,2023,Guayabal,2,2
48,123100000,2010,Villa Guadalupe,15,3
62,227700000,2012,Andalucia,13,3
65,203600000,1996,Caicedo,29,2
59,194400000,2004,Campo Valdes No 1,21,2
71,255800000,1974,Belen,51,3
76,390900000,2011,Buenos Aires,14,2
80,347100000,2000,Buenos Aires,25,2
78,394400000,2012,Buenos Aires,13,2
65,213100000,2007,Guayabal,18,2
65,171800000,1984,Caicedo,41,3
65,234700000,2013,Villa Hermosa,12,4
103,565200000,2017,Carlos E Restrepo,8,4
61,195100000,2008,La Candelaria,17,4
58,188200000,2002,Andalucia,23,2
96,381400000,1981,Laureles,44,4
62,170400000,1980,Campo Valdes No 1,45,3
100,441200000,1994,Suramericana,31,4
62,348600000,2015,La Floresta,10,4
120,461000000,1971,Laureles,54,3
77,339200000,2008,Aranjuez,17,2
80,413200000,2012,Buenos Aires,13,4
104,402500000,1990,Estadio,35,3
71,307000000,1996,Manrique Central,29,2
61,236100000,2020,La Candelaria,5,4
51,133200000,2010,Santa Cruz,15,3
58,204200000,2013,La Candelaria,12,3
54,141600000,2003,Moscu No 2,22,3
105,537700000,2005,Belen,20,3
120,584800000,2004,Carlos E Restrepo,21,4
73,330000000,2005,Aranjuez,20,2
77,324800000,1994,Manrique Central,31,4
54,175900000,2010,Caicedo,15,3
65,265400000,1993,Belen,32,3
45,120500000,2007,Santa Cruz,18,1
85,366700000,1992,Belen,33,4
152,729500000,1989,Cristo Rey,36,5
48,133300000,2013,La Cruz,12,3
75,348200000,2010,La America,15,3
52,142600000,1983,La Candelaria,42,3
59,206900000,2012,Caicedo,13,2
60,197500000,2010,Villa Hermosa,15,2
143,827800000,2009,Cristo Rey,16,5
57,188900000,2007,Guayabal,18,3
55,152100000,2014,Santa Cruz,11,3
83,396600000,2004,Manrique Central,21,3
120,609200000,2006,Conquistadores,19,4
56,187000000,2003,Villa Hermosa,22,3
63,187600000,1994,Caicedo,31,3
56,200400000,2015,Campo Valdes No 1,10,3
53,216200000,2024,Andalucia,1,2
50,125000000,2010,La Cruz,15,3
65,179000000,1979,Caicedo,46,4
55,112600000,1985,Villa Guadalupe,40,2
62,187000000,1991,Campo Valdes No 1,34,4
55,185600000,2006,Andalucia,19,2
60,214400000,2016,Villa Hermosa,9,2
61,183500000,1991,Andalucia,34,2
73,331200000,2003,Belen,22,3
55,165200000,2018,La Cruz,7,3
70,333300000,2006,Buenos Aires,19,3
51,144000000,2012,Santa Cruz,13,3
57,188900000,2003,Campo Valdes No 1,22,3
47,119200000,2006,Moscu No 2,19,2
64,269600000,2024,Caicedo,1,2
62,221300000,2015,Villa Hermosa,10,3
85,433300000,2001,Belen,24,4
84,372200000,2001,Buenos Aires,24,4
54,172600000,2024,Granizal,1,3
82,338300000,2000,La America,25,3
57,189100000,2003,La Candelaria,22,2
180,865300000,1977,Cristo Rey,48,4
180,1218700000,2018,El Velodromo,7,4
50,140500000,2014,Popular,11,2
62,167200000,1978,Villa Hermosa,47,4
54,148000000,2013,Popular,12,2
60,168200000,1981,La Candelaria,44,3
85,427700000,2017,Manrique Central,8,3
55,158800000,2013,Moscu No 2,12,2
66,301900000,2001,Aranjuez,24,2
57,169500000,1994,Caicedo,31,2
55,132400000,2000,Granizal,25,2
84,414700000,2013,Buenos Aires,12,4
59,212400000,2017,Campo Valdes No 1,8,3
52,110900000,1989,Moscu No 2,36,3
44,131200000,2021,Villa Guadalupe,4,2
117,652100000,2015,Villa Nueva,10,4
85,427500000,2011,La America,14,3
78,387600000,2016,Aranjuez,9,3
53,140100000,2006,Moscu No 2,19,3
60,196500000,2009,Campo Valdes No 1,16,2
78,392400000,2017,Belen,8,4
71,293500000,1991,La America,34,4
58,215500000,2012,Caicedo,13,3
55,156600000,2019,Santa Cruz,6,2
56,188300000,2003,Guayabal,22,2
111,635200000,2021,Villa Nueva,4,4
53,190800000,2017,Caicedo,8,3
60,187200000,2000,La Candelaria,25,3
80,421200000,2018,La America,7,2
52,136200000,1972,Villa Hermosa,53,2
82,404200000,2014,Belen,11,4
51,130400000,2010,Moscu No 2,15,3
59,200100000,2009,Caicedo,16,2
72,310500000,2000,Belen,25,4
85,395400000,2009,Aranjuez,16,4
120,586900000,2010,Suramericana,15,4
57,189300000,2006,Guayabal,19,3
52,215500000,2023,Caicedo,2,2
83,370600000,2004,Manrique Central,21,3
65,227000000,2009,La Candelaria,16,4
60,197800000,2002,Caicedo,23,2
51,143100000,2017,Moscu No 2,8,3
59,214400000,2018,Caicedo,7,3
77,347300000,2002,Manrique Central,23,3
331,2377500000,2004,El Tesoro,21,7
59,217700000,2014,Campo Valdes No 1,11,2
53,127900000,1994,Santa Cruz,31,2
50,94800000,1975,Villa Guadalupe,50,2
63,209000000,2007,Caicedo,18,3
106,487100000,2000,Carlos E Restrepo,25,4
74,310100000,1993,Belen,32,2
180,1008600000,2003,Cristo Rey,22,4
62,206600000,2007,Caicedo,18,3
62,211000000,2007,Guayabal,18,3
101,535800000,2015,Villa Nueva,10,4
63,213500000,2005,Campo Valdes No 1,20,3
57,154700000,1989,Guayabal,36,2
60,212800000,2011,Guayabal,14,2
59,217000000,2013,Caicedo,12,2
60,161500000,1983,Guayabal,42,2
82,419700000,2016,Manrique Central,9,3
47,112600000,1999,Moscu No 2,26,3
58,209000000,2014,Campo Valdes No 1,11,3
82,375100000,2005,Aranjuez,20,3
66,378900000,2024,Buenos Aires,1,2
84,445000000,2019,Buenos Aires,6,4
60,199300000,2010,Guayabal,15,3
60,208500000,2015,Villa Hermosa,10,3
120,581000000,2009,Carlos E Restrepo,16,3
65,228000000,2011,Guayabal,14,3
161,970100000,2007,Quinta Parro,18,4
53,169700000,2008,La Candelaria,17,2
71,326500000,2006,Belen,19,3
65,219900000,2003,La Candelaria,22,2
180,1055800000,2002,Laureles,23,4
61,189200000,1998,Campo Valdes No 1,27,2
49,101100000,1982,Villa Guadalupe,43,2
57,204700000,2016,Villa Hermosa,9,3
60,200100000,2003,Caicedo,22,3
74,375300000,2014,Aranjuez,11,3
180,1098800000,2005,El Velodromo,20,5
180,1158700000,2013,Los Colores,12,4
180,1197700000,2021,La Castellana,4,4
53,149600000,2020,Moscu No 2,5,3
120,577500000,1997,La Floresta,28,4
120,690000000,2019,Conquistadores,6,3
59,164800000,1987,Caicedo,38,2
180,1091100000,2002,Quinta Parro,23,6
60,220600000,2013,Villa Hermosa,12,2
65,231200000,2020,Caicedo,5,3
57,174800000,2000,La Candelaria,25,2
58,174900000,1999,Andalucia,26,3
65,197100000,1991,Campo Valdes No 1,34,4
62,209500000,2007,La Candelaria,18,2
120,475800000,1978,Estadio,47,3
47,112400000,1998,Santa Cruz,27,3
66,298000000,2002,Aranjuez,23,4
65,218000000,2008,Campo Valdes No 1,17,4
77,291500000,1983,Manrique Central,42,3
82,398700000,2017,Aranjuez,8,3
75,361300000,2008,La America,17,3
180,1215100000,2019,Cristo Rey,6,4
168,989500000,2006,Prado,19,5
85,324200000,1989,Belen,36,3
56,182400000,2001,Villa Hermosa,24,2
70,316100000,2002,Buenos Aires,23,4
120,611800000,2002,La Floresta,23,5
64,236200000,2019,Campo Valdes No 1,6,2
65,242000000,2021,Andalucia,4,3
63,231500000,2017,Caicedo,8,4
63,221000000,2014,Andalucia,11,3
75,427900000,2023,La America,2,4
67,311100000,2008,Manrique Central,17,2
53,172600000,2024,Granizal,1,2
80,417400000,2018,Belen,7,4
99,451500000,1993,La Floresta,32,3
120,664600000,2013,Estadio,12,4
60,183800000,1993,Guayabal,32,3
67,337600000,2016,Belen,9,4
120,549600000,1993,Suramericana,32,4
77,351500000,2003,Buenos Aires,22,2
54,123700000,1999,Moscu No 2,26,2
85,444200000,2019,La America,6,4
62,208600000,2008,Caicedo,17,2
56,141100000,1971,Caicedo,54,3
59,145300000,1974,Campo Valdes No 1,51,2
84,354700000,1999,Aranjuez,26,3
55,182300000,2008,Campo Valdes No 1,17,2
54,192600000,2012,La Candelaria,13,2
61,159700000,1981,Andalucia,44,3
82,377900000,2007,Buenos Aires,18,3
83,387700000,2003,La America,22,3
58,206900000,2017,La Candelaria,8,3
81,337000000,1999,La America,26,3
72,302200000,1995,Belen,30,4
54,142400000,1978,Guayabal,47,2
55,196700000,2011,Caicedo,14,3
113,528500000,1996,Villa Nueva,29,3
76,348900000,2001,Belen,24,2
120,649800000,2022,Estadio,3,3
61,218600000,2013,Campo Valdes No 1,12,4
180,1146600000,2017,El Velodromo,8,4
54,146600000,2016,La Cruz,9,2
120,463900000,1977,Estadio,48,4
62,200900000,2005,Caicedo,20,2
63,192400000,1994,Guayabal,31,3
80,433900000,2021,La America,4,3
56,185200000,2010,Andalucia,15,2
61,197100000,2008,Villa Hermosa,17,2
54,132300000,1992,Santa Cruz,33,3
61,209200000,2003,Caicedo,22,3
63,227500000,2012,Guayabal,13,4
55,115300000,1984,La Cruz,41,2
298,2312800000,2018,El Poblado,7,5
66,330600000,2015,Buenos Aires,10,4
58,190400000,2001,Caicedo,24,2
50,136600000,1986,La Candelaria,39,3
51,152300000,2022,Villa Guadalupe,3,3
85,425100000,2017,Belen,8,4
72,333500000,2010,La America,15,2
65,219000000,2001,Andalucia,24,3
61,215800000,2017,Guayabal,8,3
50,101800000,1979,Santa Cruz,46,3
71,357600000,2014,Aranjuez,11,3
45,93800000,1989,Moscu No 2,36,1
54,190200000,2016,Andalucia,9,2
78,353500000,2003,Belen,22,2
54,176800000,2001,Andalucia,24,3
46,131900000,2015,Granizal,10,3
120,604100000,2006,Belen,19,3
73,312700000,1996,Manrique Central,29,3
79,330700000,1992,La America,33,4
60,209200000,2014,Andalucia,11,2
72,377000000,2018,Aranjuez,7,3
58,210100000,2013,Andalucia,12,3
57,173100000,1993,Guayabal,32,2
60,195500000,2007,Andalucia,18,3
58,209500000,2012,Caicedo,13,3
85,355500000,1993,Belen,32,3
58,187100000,1995,Caicedo,30,3
180,986400000,1993,La Castellana,32,6
73,268900000,1977,Manrique Central,48,2
63,222400000,2016,Guayabal,9,4
56,176700000,1991,Caicedo,34,2
63,170500000,1981,Guayabal,44,3
79,265100000,1974,Aranjuez,51,2
61,207300000,2005,Campo Valdes No 1,20,4
56,195500000,2017,Andalucia,8,2
98,673600000,2018,Quinta Parro,7,3
50,184900000,2015,Campo Valdes No 1,10,3
120,560600000,1994,Belen,31,3
63,192800000,1991,Andalucia,34,3
60,200000000,2009,La Candelaria,16,2
59,179800000,1995,La Candelaria,30,3
44,136100000,1997,Andalucia,28,1
99,501600000,2005,Laureles,20,4
54,172100000,2023,Popular,2,2
62,168800000,1988,Guayabal,37,3
57,207700000,2016,Campo Valdes No 1,9,3
85,303600000,1973,Belen,52,4
46,97500000,1976,Villa Guadalupe,49,3
64,227400000,2013,Andalucia,12,3
55,159200000,2021,Moscu No 2,4,2
59,209300000,2015,Andalucia,10,3
56,233400000,2024,Guayabal,1,2
122,588500000,1990,La Castellana,35,5
81,367700000,2001,Belen,24,3
65,213700000,2005,Campo Valdes No 1,20,4
69,325800000,2003,La America,22,4
78,395600000,2015,Manrique Central,10,2
51,97000000,1973,Moscu No 2,52,3
58,177500000,1997,La Candelaria,28,3
83,416100000,2012,Belen,13,3
58,207600000,2012,Guayabal,13,3
82,416800000,2011,Manrique Central,14,4
233,1698000000,2017,Alejandria,8,6
146,966900000,2013,Cristo Rey,12,5
65,227400000,2015,Guayabal,10,2
78,378900000,2016,Belen,9,4
65,235000000,2012,Villa Hermosa,13,2
64,226200000,2017,La Candelaria,8,3
104,520300000,2003,Suramericana,22,4
120,575200000,2007,Estadio,18,3
84,388100000,2006,Buenos Aires,19,4
44,93700000,1990,Popular,35,2
120,648500000,2016,Estadio,9,4
75,339200000,2007,Manrique Central,18,2
62,163000000,1983,Villa Hermosa,42,2
55,139300000,2009,Villa Guadalupe,16,2
51,196500000,2021,Guayabal,4,2
54,152200000,2016,Moscu No 2,9,3
65,172000000,1983,Andalucia,42,3
120,495000000,1985,La Floresta,40,5
84,318200000,1977,Manrique Central,48,3
47,120200000,2009,Villa Guadalupe,16,3
180,814200000,1970,Quinta Parro,55,6
50,130600000,2010,Granizal,15,2
51,121200000,1994,Villa Guadalupe,31,2
58,226200000,2018,Campo Valdes No 1,7,2
85,314600000,1984,Manrique Central,41,4
59,213900000,2012,Campo Valdes No 1,13,3
180,852900000,1979,La Castellana,46,4
